restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,playCount,diggCount,shareCount,tiktok_post_count,gmaps_reviews_scraped,gmaps_avg_rating_scraped,wongnai_rating,wongnai_reviews,facebook_likes
2866,Karayama Samyan Mitrtown,คารายามะ สามย่านมิตรทาวน์,Sam Yan,0.0,0.0,0.0,0.0,5.0,5.0,3.8,66.0,
2867,,เสือใต้ เซ็นทรัลเวิลด์,Bangkok,0.0,0.0,0.0,0.0,,,,,
2868,,เสือใต้ เอ็มควอเทียร์,Bangkok,0.0,0.0,0.0,0.0,,,,,
2870,Baba IKI at Sri Panwa (Phuket),บาบา อิกิ โรงแรมศรีพันวา (ภูเก็ต),Bangkok,0.0,0.0,0.0,2.0,5.0,5.0,,,
2872,,คาเฟ่ชิลี ไอคอนสยาม,Bangkok,0.0,0.0,0.0,0.0,,,,,
2873,,คาเฟ่ชิลี เอ็มควอเทียร์,Bangkok,0.0,0.0,0.0,0.0,,,,,
2877,Kyoto Uji Saryo Iconsiam,เกียวโต อุจิ ซาเรียว ไอคอนสยาม,Charoen Nakorn,0.0,0.0,0.0,0.0,5.0,4.6,,,
2878,,SUPER BOWL Hong Kong Roast,Bangkok,0.0,0.0,0.0,0.0,,,,,
2881,,ร้านอาหารเรือนรส,Bangkok,0.0,0.0,0.0,0.0,,,,,
2884,You&I Premium Suki Buffet CentralWorld,ยูแอนด์ไอ พรีเมี่ยมสุกี้บุฟเฟ่ต์ เซ็นทรัลเวิลด์,Ratchaprasong,0.0,0.0,0.0,0.0,15.0,4.8,,,
2885,,Kantok Thai Restaurant by Burasari Patong (Phuket),Bangkok,0.0,0.0,0.0,0.0,,,,,
2888,Trader Vic's at Anantara Riverside Bangkok Resort,Trader Vic's โรงแรมอนันตรา กรุงเทพฯ ริเวอร์ไซด์ รีสอร์ท,Thonburi,0.0,0.0,0.0,1.0,5.0,3.8,,,
2889,,โฮโนโฮะ อิซาคายะ,Bangkok,0.0,0.0,0.0,0.0,,,,,
2891,,อรนุช สุขุมวิท 23,Bangkok,0.0,0.0,0.0,0.0,,,,,
2892,Private Dining at Cape Panwa Hotel (Phuket),Private Dining at Cape Panwa Hotel (Phuket),Bangkok,0.0,0.0,0.0,0.0,5.0,4.8,,,
2893,,Otto Italian Restaurant,Bangkok,0.0,0.0,0.0,0.0,,,,,
2895,,Metro Square Siam Paragon,Bangkok,0.0,0.0,0.0,0.0,,,,,
2906,,รีวา บีช เรสเทอรองท์ @ ราวินทรา บีช รีสอร์ท แอนด์ สปา (พัทยา),Bangkok,0.0,0.0,0.0,0.0,,,,,
2907,Cafe22 by Courtyard by Marriott North Pattaya (Pattaya),Cafe22 by Courtyard by Marriott North Pattaya (Pattaya),Bangkok,0.0,0.0,0.0,0.0,,,,,
2908,Rabbit Hole at Phuket (Phuket),ร้านโพรงกระต่าย (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,5.0,4.4,,,
2909,Red Sky Restaurant 55th Floor,เรดสกาย เรสเตอรองท์ ชั้น 55,Bangkok,0.0,0.0,0.0,0.0,,,,,
2911,COCOA XO Bar at Red Sky 57th Floor,COCOA XO Bar at Red Sky 57th Floor,Chidlom,0.0,0.0,0.0,0.0,5.0,5.0,,,
2915,Lee Kitchen at Lee Place Hotel,ห้องอาหารลีคิทเช่น โรงแรมลีเพลซ,Rama 3,0.0,0.0,0.0,0.0,5.0,5.0,,,
2916,LEE Cafe' Central Silom Tower,ลี คาเฟ่ เซ็นทรัล สีลมทาวเวอร์,Silom,0.0,0.0,0.0,1.0,5.0,4.2,,,
2918,LEE Cafe' Q House Lumpini,ลี คาเฟ่ คิวเฮ้าส์ลุมพินี,Sathon,0.0,0.0,0.0,0.0,5.0,3.4,,,
2919,LEE Cafe' Phloenchit Center,ลี คาเฟ่ เพลินจิต เซ็นเตอร์,Rajdamri,0.0,0.0,0.0,1.0,5.0,3.0,,,
2921,Chow Mong Local Kitchen at The Peri Hotel (Hua Hin),ร้านอาหารชาวมงซีฟู้ด โรงแรมเดอะเภรี โฮเต็ล (หัวหิน),Bangkok,0.0,0.0,0.0,0.0,5.0,5.0,,,
2925,JW Café at JW Marriott Hotel Bangkok,JW Café at JW Marriott Hotel Bangkok,Ploenchit,0.0,0.0,0.0,1.0,5.0,4.6,,,
2928,Seasonal Tastes The Westin Grande Sukhumvit,ซีซั่นนอล เทสท์ส โรงแรม เดอะ เวสทิน แกรนด์ สุขุมวิท,Bangkok,0.0,0.0,0.0,1.0,,,3.9,65.0,
2934,,ไลอ้อน วากิว,Bangkok,0.0,0.0,0.0,0.0,,,,,
2939,,NY Grill by Natalie,Bangkok,0.0,0.0,0.0,0.0,,,,,
2959,BlueSpice Grande Centre Point Sukhumvit 55,บลูสไปซ์ แกรนด์เซ็นเตอร์พอยต์ สุขุมวิท 55,Thonglor,0.0,0.0,0.0,0.0,5.0,4.2,,,
2965,,The Tara Bar&Restaurant,Bangkok,0.0,0.0,0.0,0.0,,,,,
2974,,Baitong Restaurant at Banana Fan Sea Resort (Samui),Bangkok,0.0,0.0,0.0,0.0,,,,,
2975,,โรงแรมเดอะสราญ สเตเคชั่น (สมุย),Bangkok,0.0,0.0,0.0,0.0,,,,,
2982,Baan Daeng by Methavalai Sorndaeng,บ้านแดง โดย เมธาวลัย ศรแดง,Sam Yan,0.0,0.0,0.0,0.0,5.0,4.4,4.1,42.0,
2983,Surf Bar at Courtyard by Marriott North (Pattaya),Surf Bar at Courtyard by Marriott North (Pattaya),Bangkok,0.0,0.0,0.0,0.0,5.0,4.0,,,
2986,,ห้องอาหารโอเอซิส ที่ เซ็นทารา แกรนด์ มิราจ บีช รีสอร์ท (พัทยา),Bangkok,0.0,0.0,0.0,0.0,,,,,
2989,,โคสท์บีชคลับ แอนด์ บิสโทร ที่ เซ็นทารา แกรนด์ มิราจ บีช รีสอร์ท (พัทยา),Bangkok,0.0,0.0,0.0,0.0,,,,,
2990,Lim Kwong Meng Restaurant,ภัตตาคารลิ้มกวงเม้ง,Sam Yan,0.0,0.0,0.0,0.0,5.0,3.8,,,
2991,The Rooftop by Mode Sathorn Hotel,เดอะรูฟท็อป บาย โหมด สาทร โฮเต็ล,Silom,0.0,0.0,0.0,0.0,5.0,5.0,,,
2992,,เดอะพูลเฮ้าส์คิทเช่น โรงแรมไฮแอทรีเจนซี่ (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,,,,,
2995,Andamanda Waterpark (Phuket),สวนน้ำอันดามันดา (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,5.0,2.4,,,
2999,Khaodongmoodaeng Siriraj Wang Lang ,ข้าวด้งหมูแดง เตาถ่าน ศิริราช วังหลัง,Siriraj,0.0,0.0,0.0,1.0,5.0,5.0,,,
3000,ZILA STREET BISTRO & BAR @MASON,ศิลา สตรีท บิสโทร แอนด์ บาร์ @MASON,Bangkok,0.0,0.0,0.0,2.0,5.0,5.0,,,
3005,Great Harbour International Buffet,เกรท ฮาร์เบอร์ อินเตอร์เนชั่นแนล บุฟเฟ่ต์,Charoen Nakorn,0.0,0.0,0.0,0.0,5.0,4.6,,,
3006,The Press Sky Bar Rooftop at The Printing House Poshtel Bangkok,เพรส สกาย บาร์ รูฟท็อป เดอะ พรินติ้ง เฮาส์ พอชเทล แบงค็อก,Phra Nakhon,0.0,0.0,0.0,0.0,5.0,4.8,,,
