restaurant_id,scraped_rating,scraped_review_count,timestamp
1318,4.5,545,2026-02-08T11:08:08.797926
1337,4.7,812,2026-02-08T11:08:26.510800
1350,4.5,409,2026-02-08T11:08:38.883306
1353,4.4,4165,2026-02-08T11:08:52.480051
1361,3.8,319,2026-02-08T11:09:04.897375
1364,4.7,1027,2026-02-08T11:09:18.905115
1365,4.6,971,2026-02-08T11:09:31.424985
1383,4.2,275,2026-02-08T11:09:45.223325
1384,4.1,690,2026-02-08T11:09:57.472765
1410,4.7,202,2026-02-08T11:10:11.117479
1420,3.8,319,2026-02-08T11:10:24.887692
1422,4.5,120,2026-02-08T11:10:38.616731
1433,4.6,1197,2026-02-08T11:10:51.195778
1448,4.5,156,2026-02-08T11:11:03.765272
1457,4.6,421,2026-02-08T11:11:18.494864
1458,4.6,6461,2026-02-08T11:11:30.911743
1483,4.4,684,2026-02-08T11:26:46.144429
1538,4.1,371,2026-02-08T11:27:00.301189
1546,4.5,618,2026-02-08T11:27:18.063674
1560,4.6,209,2026-02-08T11:27:33.349135
1572,4.3,270,2026-02-08T11:27:47.233783
1579,4.6,1542,2026-02-08T11:28:01.268547
1582,4.4,410,2026-02-08T11:28:13.814583
1594,4.5,4865,2026-02-08T11:28:28.105004
1604,3.9,43,2026-02-09T02:41:14.637044
2029,4.4,708,2026-02-09T08:37:19.056387
2032,4.6,888,2026-02-09T08:37:34.194488
2041,4.6,108,2026-02-09T08:37:50.209784
2042,4.2,418,2026-02-09T08:38:03.240785
2043,4.3,268,2026-02-09T08:38:16.374591
2044,4.5,616,2026-02-09T08:38:29.797153
2049,4.4,120,2026-02-09T08:38:43.441718
2054,4.5,2149,2026-02-09T08:38:58.587096
2061,4.7,565,2026-02-09T08:39:19.244450
2072,4.6,434,2026-02-09T08:39:34.043767
2083,4.6,6372,2026-02-09T08:39:50.592024
2086,4.7,827,2026-02-09T08:55:02.846768
2088,4.4,251,2026-02-09T08:55:16.419995
2090,4.4,669,2026-02-09T08:55:29.432473
2092,4.7,7423,2026-02-09T08:55:45.206378
2096,4.5,874,2026-02-09T08:55:58.566174
2099,4.4,267,2026-02-09T08:56:12.025017
2102,4.7,1343,2026-02-09T09:11:29.917935
2111,4.0,135,2026-02-09T09:11:45.693912
2114,4.3,693,2026-02-09T09:11:59.028761
2118,4.6,497,2026-02-09T09:12:12.101258
2143,4.5,364,2026-02-09T09:12:30.320735
2144,4.0,216,2026-02-09T09:12:44.065195
2145,4.7,509,2026-02-09T09:12:57.365166
2146,4.4,161,2026-02-09T09:13:10.641272
2157,4.5,631,2026-02-09T09:13:28.543579
2162,4.9,184,2026-02-09T09:13:42.355083
2169,4.8,1697,2026-02-09T09:13:55.756210
2183,4.4,3774,2026-02-09T09:14:12.316261
2188,4.3,579,2026-02-09T09:29:29.147809
2190,4.5,520,2026-02-09T09:29:42.138146
2201,4.8,2570,2026-02-09T09:29:57.534704
2208,4.3,649,2026-02-09T09:30:10.495160
2209,4.5,2083,2026-02-09T09:30:23.519843
2212,4.6,387,2026-02-09T09:30:36.509701
2230,4.3,213,2026-02-09T09:46:23.524046
2239,4.3,295,2026-02-09T09:46:36.562276
2243,3.9,323,2026-02-09T09:46:49.304522
2248,4.7,8462,2026-02-09T09:47:02.612296
2250,4.4,260,2026-02-09T09:47:17.876477
2270,4.8,4162,2026-02-09T09:47:36.478911
2284,4.1,115,2026-02-09T09:47:56.602233
2319,4.5,536,2026-02-09T09:48:16.296307
2324,4.7,362,2026-02-09T09:48:29.273264
2331,4.5,9207,2026-02-09T09:48:49.591893
2350,4.6,589,2026-02-09T10:04:12.529652
2354,4.6,1130,2026-02-09T10:04:25.928198
2381,4.4,1491,2026-02-09T10:04:42.854706
2421,4.7,454,2026-02-09T10:05:00.940665
2424,4.6,184,2026-02-09T10:05:15.703708
2434,4.5,399,2026-02-09T10:05:35.325280
2439,3.8,494,2026-02-09T10:05:48.722615
2441,4.7,467,2026-02-09T10:06:06.977751
2442,4.5,709,2026-02-09T10:06:20.093646
2449,4.4,485,2026-02-09T10:06:40.133856
2451,4.3,433,2026-02-09T10:06:53.079556
2452,4.6,273,2026-02-09T10:07:06.247702
2454,4.6,202,2026-02-09T10:07:19.157586
2460,4.2,161,2026-02-09T10:07:39.094829
2461,4.4,686,2026-02-09T10:07:52.776219
2462,4.6,338,2026-02-09T10:23:07.519068
2466,4.4,117,2026-02-09T10:23:23.764148
2469,4.5,266,2026-02-09T10:23:38.001581
2475,4.3,73,2026-02-09T10:23:51.904212
2482,4.8,60,2026-02-09T10:24:10.116434
2483,4.2,304,2026-02-09T10:24:23.106156
2485,4.0,1079,2026-02-09T10:24:36.537700
2506,4.8,60,2026-02-09T10:42:17.394159
2519,4.0,257,2026-02-09T10:42:32.961641
2529,4.9,2349,2026-02-09T10:42:48.260749
2531,4.1,156,2026-02-09T10:43:01.110504
2536,4.4,7219,2026-02-09T10:43:16.243625
2539,4.3,3495,2026-02-09T10:58:37.904968
2554,4.0,659,2026-02-09T11:13:59.302150
2556,4.6,394,2026-02-09T11:14:14.834165
