restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,phone_number,total_revenue,total_bookings,total_guests,avg_revenue_per_booking,no_show_rate
3202,,เจ้าสัวแต่เตี้ยม,Bangkok,638789926,387084.0,36.0,80.0,10752.333333333334,0.0
3204,,Buon Gusto (Chiang Mai),Bangkok,816038024,112680.0,5.0,11.0,22536.0,0.0
3209,Arno's Silom Serene Hotel,อาโนส์ โรงแรมสีลมศิรินทร์,Sathon,967461824,5967852.0,896.0,1160.0,6660.549107142857,0.0
3210,,ออมทอง สีลม,Bangkok,941865193,2989800.0,247.0,721.0,12104.453441295547,0.0
3211,,วานิลลา ฟิวชั่น บุฟเฟ่ต์,Bangkok,6.61E+11,422616.0,28.0,56.0,15093.42857142857,0.0
3212,,มาม่า พาสต้า Lumpini ville Cultural Center,Bangkok,988054718,438240.0,38.0,101.0,11532.631578947368,0.0
3213,,ตั๊ก หลัก เกี้ย บูทีค โฮเทล สเตเคชั่น,Bangkok,657248988,148752.0,2.0,11.0,74376.0,0.0
3217,Okinawa Restaurant Kinjo,โอกินาวา คินโจ,Bangkok,27110536,3718920.0,265.0,751.0,14033.66037735849,0.0037735849056603
3218,,โรงแรมคุเระทาเกะโซ ศรีราชา สเตเคชั่น (ชลบุรี),Bangkok,38183333,452400.0,7.0,26.0,64628.57142857143,0.0
3219,Panda King Samphran,แพนด้าคิงส์ สามพราน,Bangkok,969515150,180396.0,15.0,34.0,12026.4,0.0
3220,Muang Mandala Pool Villa Staycation (Pattaya),เมือง มันดาลา อาร์ต วิลล่า สเตเคชั่น (พัทยา),Bangkok,639935355,405600.0,2.0,16.0,202800.0,0.0
3222,,ซามูไรไดเนอร์ สุขุมวิท ซอย 69/1,Bangkok,841632364,44640.0,3.0,6.0,14880.0,0.0
3223,,Taste โรงแรมไอบิส กรุงเทพ ริเวอร์ไซด์,Bangkok,28059888,1146600.0,23.0,98.0,49852.17391304348,0.0
3224,,Sasin Demo,Bangkok,619701977,990.0,1.0,2.0,990.0,0.0
3225,Sky Vibe Rooftop Bar at Cross Vibe Pattaya Seaphere (Pattaya),สกาย ไวบ์ รูฟท็อป บาร์ ครอสทูไวบ์พัทยาซีเฟียร์ (พัทยา),Bangkok,829619541,4041428.0,244.0,537.0,16563.22950819672,0.040983606557377
3227,,ดูโอคูซินา,Bangkok,855947461,853560.0,36.0,87.0,23710.0,0.0
3234,High Tea by Pickaboo,High Tea by Pickaboo,Asok,904087878,1047216.0,49.0,141.0,21371.755102040817,0.0
3235,,กาสตง โรงแรมแกรนด์ ไฮแอท เอราวัณ,Bangkok,22541234,3522400.0,126.0,270.0,27955.555555555555,0.0079365079365079
3236,,ไอเอ็กซ์ ซาคาบะ,Bangkok,834138335,291828.0,18.0,40.0,16212.666666666666,0.0
