restaurant_id,raw_average_sentiment,sentiment_variance,nlp_review_count,sentiment_score
2519,0.3354241379310345,0.27740821832512313,29,66.77120689655173
2529,0.6512,0.10055108947368421,20,82.56
2531,0.4013933333333333,0.12239150547126436,30,70.06966666666666
2554,0.5964,0.17397039789473684,20,79.82000000000001
2556,0.6371749999999999,0.11440092513157894,20,81.85875
2561,0.51519,0.1597778602413793,30,75.7595
2562,0.56501,0.24336477778947374,20,78.2505
2563,0.44226333333333334,0.18500996102298853,30,72.11316666666667
2566,0.8341533333333333,0.02799624671264367,30,91.70766666666667
2567,0.74669,0.03801997147368421,20,87.3345
2570,0.43268000000000006,0.22147876063157898,20,71.634
2571,0.5005233333333333,0.12497395840229884,30,75.02616666666665
2572,0.27437272727272727,0.27682735826839827,22,63.718636363636364
2573,0.31475555555555557,0.2218261671794872,27,65.73777777777778
2574,0.34121904761904764,0.11666643261904766,21,67.06095238095237
2575,0.37528,0.1848290430344828,30,68.76400000000001
2576,0.43493,0.13642856562068964,30,71.7465
2577,0.37710333333333335,0.20184329757471262,30,68.85516666666666
2578,0.52715,0.2543676247368421,20,76.3575
2580,0.53198,0.15902517536842106,20,76.59899999999999
2581,0.3956466666666667,0.17848864257471264,30,69.78233333333334
2582,0.642555,0.16405325734210527,20,82.12775
2583,0.4430866666666667,0.13075993222988505,30,72.15433333333333
2585,0.5261433333333333,0.20582317564367822,30,76.30716666666666
2586,0.5963766666666667,0.0958015604712644,30,79.81883333333333
2587,0.35877,0.23340934906896554,30,67.9385
2588,0.42017666666666664,0.2642601266781609,30,71.00883333333333
2591,0.38734,0.2884555093793104,30,69.367
2592,0.5202166666666667,0.16816531798850576,30,76.01083333333334
2594,0.740345,0.12371422892105265,20,87.01725
2604,0.64592,0.21318006027586206,30,82.296
2624,0.7737933333333333,0.041387386850574706,30,88.68966666666667
2627,0.4355066666666667,0.21740678616091963,30,71.77533333333334
2632,0.37392800000000004,0.24556523709999997,25,68.6964
2645,0.5833666666666667,0.12957742160919544,30,79.16833333333332
2664,0.5441800000000001,0.2499906182068965,30,77.209
2675,0.5763133333333333,0.23071300050574714,30,78.81566666666666
2681,0.56551,0.21274776920689661,30,78.2755
2685,0.67299,0.06017402726315789,20,83.6495
2688,0.76789,0.09423881472413793,30,88.3945
2699,0.30274999999999996,0.5670660433333334,4,65.1375
2707,0.7851400000000001,0.02452646248275862,30,89.257
2715,0.68301,0.16843336920689655,30,84.1505
2723,0.7463166666666667,0.13251310833333335,30,87.31583333333333
2724,0.82871,0.019667896793103438,30,91.4355
2725,0.6312433333333334,0.12397934598850574,30,81.56216666666667
2733,0.7892366666666667,0.08495390240229887,30,89.46183333333333
2739,0.7561333333333333,0.07468600505747126,30,87.80666666666667
2743,0.7699433333333333,0.06843736116091956,30,88.49716666666667
2750,0.7550399999999999,0.09802670455172412,30,87.752
2754,0.60943,0.12649664536842106,20,80.4715
2755,0.6328600000000001,0.08889992524137931,30,81.643
2759,0.68075,0.09733241631578948,20,84.0375
2762,0.812295,0.023829477342105266,20,90.61475
2770,0.63713,0.24940763378947367,20,81.8565
2780,0.72148,0.20643862855172412,30,86.07400000000001
2784,0.581895,0.17380491102631576,20,79.09475
2792,0.3151733333333333,0.36300602202298843,30,65.75866666666667
2794,0.5144266666666667,0.19786914960919544,30,75.72133333333333
2805,0.3884566666666667,0.31695259840229884,30,69.42283333333333
2808,0.79707,0.08839399589473683,20,89.8535
2811,0.5763966666666666,0.25635037550574713,30,78.81983333333334
2813,0.65466,0.13157708357894737,20,82.733
2814,0.6909,0.09085026275862071,30,84.545
2817,0.7617499999999999,0.13381742327586205,30,88.08749999999999
2824,0.5694,0.22085752421052626,20,78.47
2826,0.572855,0.18270808786842105,20,78.64275
2828,0.63111,0.1492452156842105,20,81.55550000000001
2853,0.6901700000000001,0.1591085980344827,30,84.50850000000001
2864,0.6377833333333334,0.15316520281609194,30,81.88916666666667
2866,0.52308,0.19162317475862062,30,76.154
2867,0.326925,0.25812890618421064,20,66.34625000000001
2873,0.41669666666666666,0.2321443968850575,30,70.83483333333334
2877,0.5313,0.17477299517241376,30,76.565
2878,0.3761466666666667,0.23967508533333334,30,68.80733333333333
2885,0.8018449999999999,0.08020885734210527,20,90.09224999999999
2888,0.6403433333333334,0.14471690322988506,30,82.01716666666667
2893,0.7160866666666668,0.1484550211954023,30,85.80433333333333
2895,0.7368633333333333,0.07081151481609195,30,86.84316666666668
2908,0.6334366666666666,0.12206550654022989,30,81.67183333333334
2911,0.866405,0.03654080050000001,20,93.32024999999999
2915,0.45986,0.24282374317241368,30,72.993
2916,0.39841363636363636,0.209740026948052,22,69.92068181818182
2918,0.5642833333333334,0.10903253729885055,30,78.21416666666667
2919,0.3543366666666667,0.24598530791954018,30,67.71683333333334
2921,0.7941100000000001,0.037454506210526324,20,89.7055
2925,0.8093533333333334,0.017339128781609196,30,90.46766666666667
2934,0.527555,0.10720953839473686,20,76.37775
2939,0.6364461538461538,0.06973156102564103,13,81.82230769230769
2959,0.6444733333333333,0.07979255857471265,30,82.22366666666667
2965,0.5884833333333332,0.19148123454022994,30,79.42416666666666
2974,0.8340333333333334,0.07247506298850576,30,91.70166666666667
2982,0.787015,0.04934702976315789,20,89.35075
2990,0.5119,0.07286562428571428,29,75.595
2992,0.460265,0.22713827502631584,20,73.01325
2995,0.71502,0.10904804177777778,10,85.751
2999,0.5683266666666668,0.16982826616091953,30,78.41633333333333
3005,0.5346366666666668,0.23484262791954025,30,76.73183333333333
3006,0.6502800000000001,0.18618445199999997,30,82.514
3010,0.52778,0.129307152,30,76.389
3018,0.8074766666666666,0.05282354185057474,30,90.37383333333334
3021,0.45280333333333334,0.2992766224022988,30,72.64016666666666
3023,0.5609625,0.14110270783333334,16,78.048125
3024,0.5395866666666667,0.26572932119540227,30,76.97933333333333
3026,0.65125,0.10475401833333335,10,82.5625
3030,0.595225,0.19491763671052634,20,79.76125
3032,0.8908666666666667,0.010214093333333339,3,94.54333333333334
3033,0.635735,0.09139094344736845,20,81.78675
3034,0.5709633333333334,0.22246060654022978,30,78.54816666666666
3045,0.74756,0.10494100524137931,30,87.378
3052,0.63227,0.08363744424137932,30,81.6135
