restaurant_id,target_label,ML_Predicted_Segment,prob_declining,prob_stable,prob_rising,prob_hidden_gem,ml_priority_score,expected_kpi,residual_kpi,momentum_score,external_quality_score,booking_conversion_rate,web_views,gmaps_rating,gmaps_reviews,weighted_rating_score,region_encoded,cuisine_encoded,priority_rank
6678.0,Rising,Rising,0.0669814976689247,0.1015809695518394,0.8314267719037072,1.076087552856128e-05,49.88603674924357,51.34882047730018,0.0649451666738514,0.0,0.0,0.4186046511627907,43.0,0.0,0.0,4.270210448652636,5,1,17
5588.0,Rising,Rising,0.0556473086331956,0.1174569901454962,0.8268818513674323,1.384985387580723e-05,49.61346507620097,52.35140984945324,-0.1574110314671415,0.0,0.0,2.794117647058824,34.0,0.0,0.0,4.770210448652636,6,3,18
2090.0,Rising,Rising,0.0576494404891582,0.1287681885117829,0.8135678250804786,1.4545918580297454e-05,48.81465134157193,52.83105730007036,2.517308209707487,0.0,58.5857759261261,0.8,15.0,4.4,669.0,4.813805837598129,6,4,19
6673.0,Rising,Rising,0.1017533461324432,0.0863193590216694,0.8119182520402058,9.042805681331352e-06,48.7154568346396,50.94614734021954,0.0585186219643318,0.0,0.0,0.4375,16.0,0.0,0.0,4.6601803845594025,0,0,20
6295.0,Rising,Rising,0.0349274454695649,0.1632954078341132,0.8017674714492309,9.675247090991471e-06,48.10643529683749,54.26474031849421,-0.0332369156395913,0.0,0.0,0.9787234042553192,47.0,0.0,0.0,4.830090192279702,8,2,21
5542.0,Rising,Rising,0.060939294524741,0.1388106823377477,0.8002352452791237,1.4777858387565271e-05,48.01470583108292,56.97713429408191,-0.1748159775075848,0.0,0.0,2.8,15.0,0.0,0.0,4.735695854657314,6,3,22
6136.0,Rising,Rising,0.0144587555936662,0.1891925953629977,0.7963375918501008,1.1057193235282331e-05,47.78069779873545,55.74402541965173,-0.2837705527027481,0.0,0.0,6.529411764705882,17.0,0.0,0.0,,6,0,23
6598.0,Rising,Rising,0.0144587555936662,0.1891925953629977,0.7963375918501008,1.1057193235282331e-05,47.78069779873545,52.74225781225663,-0.0735502902570743,0.0,0.0,3.0,17.0,0.0,0.0,,6,0,24
6484.0,Rising,Rising,0.0470358037864164,0.1592493388767101,0.7937046284131393,1.022892373396969e-05,47.62268686173771,51.1387312070752,0.0979169388431202,0.0,0.0,0.5806451612903226,31.0,0.0,0.0,4.735695854657314,6,1,25
6554.0,Rising,Rising,0.0148417539053521,0.1932410602957013,0.7919066848936146,1.0500905331789045e-05,47.51482112983015,51.31497678613958,-0.0385144373323385,0.0,0.0,2.411764705882353,17.0,0.0,0.0,,6,3,26
6465.0,Rising,Rising,0.0072458726401411,0.2031864346952038,0.7895577086635623,9.98400109283362e-06,47.37386187985745,51.8447712545783,-0.044308063826044,0.0,0.0,1.871794871794872,39.0,0.0,0.0,,6,2,27
5877.0,Rising,Rising,0.0612400428980169,0.1514595310602677,0.7872923381815212,8.087860194085374e-06,47.23786380529904,56.65416914920392,0.0282813417457106,0.0,0.0,0.3333333333333333,129.0,0.0,0.0,4.803037527416546,2,1,28
6374.0,Rising,Rising,0.0950040716085205,0.1177862516524294,0.7871998957285619,9.781010488220122e-06,47.23238498413323,55.32963180831484,0.1711031343610045,0.0,0.0,0.5625,48.0,0.0,0.0,4.803037527416546,9,1,29
6202.0,Rising,Rising,0.0964210482550037,0.1203303848284111,0.7832343713029799,1.4195613605103582e-05,46.994630102723,55.25013129277952,0.2063236187248094,0.0,0.0,1.181818181818182,22.0,0.0,0.0,4.702657836489477,9,4,30
5923.0,Rising,Rising,0.0854580977164218,0.134360915346869,0.7801687429616632,1.2243975046093168e-05,46.810614336701626,54.1322447242692,-0.0269670756029043,0.0,0.0,1.4782608695652173,46.0,0.0,0.0,4.770210448652636,6,0,31
6057.0,Rising,Rising,0.0130303015723441,0.2144492855518265,0.7725112349638906,9.177911938641e-06,46.35104121431098,55.30956851651578,-0.1640209275189121,30.05036557658178,0.0,11.25,12.0,0.0,0.0,4.770210448652636,6,0,32
6249.0,Rising,Rising,0.0729538817151591,0.1617440886133184,0.7652901845768564,1.1845094666145126e-05,45.91788487839803,51.80585020548147,0.0538815667515137,0.0,0.0,0.9,20.0,0.0,0.0,4.6601803845594025,4,1,33
5983.0,Rising,Rising,0.1693193723155371,0.0659756733549272,0.7646923388074987,1.2615522036960255e-05,45.882044949331394,58.41318284145423,-0.0428113871346624,0.0,0.0,1.4722222222222223,36.0,0.0,0.0,4.462126269191582,3,1,34
5611.0,Rising,Rising,0.1589130932115381,0.0796421340340185,0.7614305929592958,1.4179795147505335e-05,45.686402769363646,58.33945209677498,-0.0676676283085768,0.0,0.0,3.0,16.0,0.0,0.0,4.908084179461055,9,4,35
5227.0,Rising,Rising,0.0703373835647839,0.1738402435048966,0.7558093004028592,1.3072527460262e-05,45.34908092526996,53.39089630357369,-0.0290994784842979,0.0,0.0,0.5555555555555556,54.0,0.0,0.0,4.846806965768424,9,2,36
6327.0,Rising,Rising,0.0352650122075056,0.2149373888655664,0.7497795836244681,1.8015302459741825e-05,44.98749562956647,52.666157149143615,0.0883001624260231,0.0,0.0,2.1333333333333333,15.0,0.0,0.0,4.770210448652636,6,7,37
5353.0,Rising,Rising,0.0108445710670036,0.2425997169484972,0.7465452593063772,1.0452678121966502e-05,44.793133665507504,56.25022158453647,0.0537498530194113,0.0,0.0,5.111111111111111,36.0,0.0,0.0,,6,0,38
6437.0,Rising,Rising,0.0240595609255288,0.2294085921966575,0.7465200623475726,1.1784530241005282e-05,44.79167512206399,57.85290156281995,-0.0411421457966696,0.0,0.0,1.6,15.0,0.0,0.0,,8,4,39
6636.0,Rising,Rising,0.0181532801350762,0.2401920208537108,0.7416406973934913,1.4001617721693524e-05,44.49900190831834,57.8529520380634,-0.0022170210586693,0.0,0.0,1.088235294117647,34.0,0.0,0.0,,9,1,40
2632.0,Rising,Rising,0.049158713184948,0.2132456817856075,0.737577213817645,1.8391211799311485e-05,44.25536847753067,49.56254892089959,6.240743229959435,0.0,29.96289579255197,2.642857142857143,14.0,3.8,44.0,4.783751153810528,6,2,41
5988.0,Rising,Rising,0.1092864176474486,0.1654692611392722,0.7251920706487313,5.225056454790001e-05,43.51361426150579,57.81689774676162,-0.0331436507289808,0.0,0.0,0.65625,32.0,0.0,0.0,4.6601803845594025,0,0,42
