restaurant_id,restaurant_name_en,gmaps_rating,gmaps_reviews,tiktok_views,tiktok_likes,tiktok_shares,facebook_likes,wongnai_rating,wongnai_reviews
1242.0,Earw Thai Suki Boran Central Plaza Rama 3,4.2,193.0,0.0,0.0,0.0,0.0,0.0,0.0
1243.0,Earw Thai Suki Boran Central World,4.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0
1244.0,Earw Thai Suki Boran Central Plaza WestGate,4.5,426.0,0.0,0.0,0.0,0.0,0.0,0.0
1245.0,Earw Thai Suki Boran Mega Bangna,4.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
1246.0,Earw Thai Suki Boran Seacon Square Srinagarindra,4.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0
1259.0,Earw Thai Suki Boran K Village,4.4,160.0,0.0,0.0,0.0,0.0,0.0,0.0
1296.0,Chowpati Indian Street Food Bangkok,4.6,2305.0,0.0,0.0,0.0,0.0,0.0,0.0
1318.0,Suku Suku Sushi,4.5,545.0,0.0,0.0,0.0,0.0,0.0,0.0
1336.0,You&I Premium Suki Buffet Samyan Mitrtown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1337.0,You&I Premium Suki Buffet The Nine Center,4.7,812.0,0.0,0.0,0.0,0.0,0.0,0.0
1350.0,VANIDA Bangkok,4.5,409.0,0.0,0.0,0.0,0.0,0.0,0.0
1352.0,Hungry Hub Test Malaysia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1353.0,Kuang Seafood Ratchada,4.4,4165.0,0.0,0.0,0.0,0.0,0.0,0.0
1361.0,Restaurant DEMO,3.8,319.0,0.0,0.0,0.0,0.0,0.0,0.0
1363.0,You&I Premium Suki Buffet Fashion Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1364.0,You&I Premium Suki Buffet The Mall Bangkae,4.7,1027.0,0.0,0.0,0.0,0.0,0.0,0.0
1365.0,You&I Premium Suki Buffet The EmQuartier,4.6,971.0,0.0,0.0,0.0,0.0,0.0,0.0
1382.0,Kingkong Yakiniku Buffet Ekamai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1383.0,Kingkong Yakiniku Buffet  Sai Mai,4.2,275.0,0.0,0.0,0.0,0.0,0.0,0.0
1384.0,Kingkong Yakiniku Buffet  United Center Silom,4.1,690.0,0.0,0.0,0.0,0.0,0.0,0.0
1401.0,Bud's Ice Cream Sathupradit soi 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1410.0,You&I Premium Suki Buffet The Crystal Ratchapruek,4.7,202.0,0.0,0.0,0.0,0.0,0.0,0.0
1411.0,You&I Premium Suki Buffet The Walk Kaset-Navamin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1420.0,Demo  Premium Reservation,3.8,319.0,0.0,0.0,0.0,0.0,0.0,0.0
1421.0,Copper Beyond Booking Special Package,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1422.0,Oaker Steak,4.5,120.0,0.0,0.0,0.0,0.0,0.0,0.0
1433.0,The Seafood Cafe & Restaurant,4.6,1197.0,0.0,0.0,0.0,0.0,0.0,0.0
1448.0,Caishen Cafe (Kasetnawamin),4.5,156.0,0.0,0.0,0.0,0.0,0.0,0.0
1456.0,test,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1457.0,The House of Smooth Curry - The Athenee Hotel,4.6,421.0,0.0,0.0,0.0,0.0,0.0,0.0
1458.0,The Silk Road - The Athenee Hotel,4.6,6461.0,0.0,0.0,0.0,0.0,0.0,0.0
1459.0,Carne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1483.0,Praya Kitchen Bangkok Marriott Hotel The Surawongse,4.4,684.0,0.0,0.0,0.0,0.0,0.0,0.0
1487.0,Benares Modern Indian Cuisine Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538.0,Thara Thong Royal Orchid Sheraton,4.1,371.0,0.0,0.0,0.0,0.0,0.0,0.0
1545.0,Paii at The House on Sathorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546.0,Orca Baker & Butcher Lasalle's Avenue,4.5,618.0,0.0,0.0,0.0,0.0,0.0,0.0
1552.0,The Allium Bangkok at The Athenee Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1559.0,Zest Bar & Terrace @ The Westin Grande Sukhumvit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560.0,La Tavola Renaissance Bangkok,4.6,209.0,0.0,0.0,0.0,0.0,0.0,0.0
1561.0,The Bakery at The Athenee Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572.0,Vela Rooftop Sanampao,4.3,270.0,0.0,0.0,0.0,0.0,0.0,0.0
1573.0,The Cockle Seafood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1579.0,SEEN Rooftop Avani Riverside,4.6,1542.0,0.0,0.0,0.0,0.0,0.0,0.0
1582.0,Benihana at Riverside Plaza,4.4,410.0,0.0,0.0,0.0,0.0,0.0,0.0
1584.0,Manohra Cruises Bangkok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1594.0,Flavors at Renaissance Bangkok,4.5,4865.0,0.0,0.0,0.0,0.0,0.0,0.0
1604.0,Beach Grill at Le Meridien Khao Lak Resort & Spa (Phang-nga),3.9,43.0,0.0,0.0,0.0,0.0,0.0,0.0
1613.0,Moom Muum Park Terminal 21 Asok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617.0,ABar Rooftop Bangkok Marriott Marquis Queen’s Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1622.0,Panorama Crowne Plaza Bangkok Lumpini Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1625.0,Takieng at Renaissance Resort & Spa (Phuket),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1629.0,Skyview Hotel Sukhumvit Soi 24 Staycation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1639.0,Chao Leh Kitchen @ Four Points by Sheraton Phuket Patong Beach Resort (Phuket),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1641.0,Kangpa Ram24th,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646.0,Versailles Palace Rattanathibet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1648.0,Rossini's at Sheraton Grande Sukhumvit A Luxury Collection Hotel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650.0,Sansab Siam Paragon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656.0,Fallabella River Front Iconsiam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659.0,Sushi Seki Siam Paragon (5th Floor),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1661.0,Sushi Seki The Emquartier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1664.0,The Coffee Club Summer Hill Phra Khanong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
